,F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4,A2,IMPEDANCE,BATTERY,FRAME
22,128962560.0,4281683968.0,4111759360.0,263735296.0,329027584.0,212860928.0,214812672.0,180119552.0,382734336.0,21499904.0,99606528.0,93071360.0,204249088.0,116355072.0,163115008.0,47339520.0,46874624.0,188366848.0,210737152.0,4276088832.0,17.0,106.0,22.0
23,131502080.0,4287191040.0,4117080064.0,266885120.0,332961792.0,213882880.0,220489728.0,184516608.0,372606976.0,25679872.0,101255168.0,72456192.0,198438912.0,118013952.0,164964352.0,46215168.0,49090560.0,151214080.0,216682496.0,4280559616.0,17.0,106.0,23.0
24,121794560.0,4274982912.0,4105814016.0,260071424.0,324595712.0,206176256.0,208590848.0,174626816.0,369094656.0,15187968.0,92602368.0,73908224.0,192757760.0,109387776.0,156911616.0,39000064.0,41166848.0,169838592.0,204654592.0,4268931072.0,17.0,106.0,24.0
25,119246848.0,4269447168.0,4100509696.0,256866304.0,320593920.0,205109248.0,202917888.0,170172416.0,379185152.0,10973184.0,90945536.0,94521344.0,198565888.0,107698176.0,155017216.0,40118272.0,38934528.0,207028224.0,198658048.0,4264437760.0,17.0,106.0,25.0
26,128970752.0,4281661440.0,4111794176.0,263743488.0,328962048.0,212811776.0,214874112.0,180078592.0,382734336.0,21460992.0,99608576.0,93087744.0,204292096.0,116320256.0,163074048.0,47339520.0,46872576.0,188430336.0,210694144.0,4276084736.0,17.0,106.0,26.0
27,131549184.0,4287188992.0,4117139456.0,266975232.0,332959744.0,213864448.0,220598272.0,184539136.0,372635648.0,25681920.0,101261312.0,72470528.0,198514688.0,117983232.0,164962304.0,46211072.0,49129472.0,151267328.0,216700928.0,4280567808.0,17.0,106.0,27.0
28,121841664.0,4274997248.0,4105887744.0,260169728.0,324610048.0,206170112.0,208715776.0,174678016.0,369121280.0,15196160.0,92585984.0,73895936.0,192839680.0,109371392.0,156913664.0,38975488.0,41195520.0,169873408.0,204689408.0,4268945408.0,17.0,106.0,28.0
29,119300096.0,4269541376.0,4100644864.0,257009664.0,320634880.0,205137920.0,203079680.0,170276864.0,379215872.0,11040768.0,90961920.0,94486528.0,198668288.0,107730944.0,155072512.0,40112128.0,38991872.0,206985216.0,198739968.0,4264517632.0,17.0,106.0,29.0
30,129009664.0,4281747456.0,4111896576.0,263835648.0,328978432.0,212830208.0,215017472.0,180158464.0,382734336.0,21534720.0,99622912.0,93040640.0,204378112.0,116355072.0,163115008.0,47329280.0,46901248.0,188434432.0,210763776.0,4276137984.0,17.0,106.0,30.0
31,131555328.0,4287256576.0,4117135360.0,266983424.0,332916736.0,213854208.0,220702720.0,184573952.0,372604928.0,25694208.0,101257216.0,72445952.0,198580224.0,117989376.0,164976640.0,46196736.0,49090560.0,151314432.0,216707072.0,4280569856.0,17.0,106.0,31.0
32,121827328.0,4275066880.0,4105861120.0,260163584.0,324554752.0,206168064.0,208799744.0,174678016.0,369094656.0,15194112.0,92575744.0,73897984.0,192890880.0,109342720.0,156921856.0,38985728.0,41168896.0,169926656.0,204687360.0,4268933120.0,17.0,106.0,32.0
33,119287808.0,4269565952.0,4100573184.0,257011712.0,320595968.0,205137920.0,203175936.0,170254336.0,379213824.0,11030528.0,90937344.0,94527488.0,198719488.0,107694080.0,155056128.0,40142848.0,38957056.0,207046656.0,198733824.0,4264501248.0,17.0,106.0,33.0
34,128991232.0,4281708544.0,4111771648.0,263784448.0,328916992.0,212779008.0,215072768.0,180111360.0,382709760.0,21469184.0,99567616.0,93106176.0,204390400.0,116277248.0,163028992.0,47284224.0,46815232.0,188479488.0,210702336.0,4276086784.0,17.0,106.0,34.0
35,131532800.0,4287188992.0,4117030912.0,266928128.0,332845056.0,213796864.0,220723200.0,184512512.0,372555776.0,25593856.0,101197824.0,72488960.0,198576128.0,117901312.0,164864000.0,46116864.0,48971776.0,151347200.0,216635392.0,4280510464.0,17.0,106.0,35.0
36,121810944.0,4275009536.0,4105746432.0,260120576.0,324491264.0,206116864.0,208818176.0,174647296.0,369051648.0,15106048.0,92555264.0,73902080.0,192901120.0,109285376.0,156846080.0,38948864.0,41052160.0,169959424.0,204625920.0,4268879872.0,17.0,106.0,36.0
37,119300096.0,4269570048.0,4100489216.0,257021952.0,320583680.0,205142016.0,203233280.0,170299392.0,379205632.0,11012096.0,90966016.0,94527488.0,198762496.0,107683840.0,155021312.0,40155136.0,38895616.0,207073280.0,198727680.0,4264478720.0,17.0,106.0,37.0
38,129003520.0,4281757696.0,4111783936.0,263833600.0,328957952.0,212846592.0,215166976.0,180201472.0,382756864.0,21499904.0,99633152.0,93112320.0,204474368.0,116307968.0,163074048.0,47347712.0,46821376.0,188545024.0,210739200.0,4276101120.0,17.0,106.0,38.0
39,131561472.0,4287256576.0,4117082112.0,266969088.0,332924928.0,213872640.0,220860416.0,184653824.0,372645888.0,25671680.0,101279744.0,72505344.0,198678528.0,117968896.0,164966400.0,46170112.0,49027072.0,151406592.0,216698880.0,4280547328.0,17.0,106.0,39.0
40,121868288.0,4275077120.0,4105760768.0,260194304.0,324573184.0,206188544.0,208977920.0,174807040.0,369139712.0,15196160.0,92637184.0,73926656.0,193001472.0,109363200.0,156942336.0,38952960.0,41109504.0,169996288.0,204691456.0,4268920832.0,17.0,106.0,40.0
41,119308288.0,4269557760.0,4100485120.0,257030144.0,320573440.0,205144064.0,203307008.0,170364928.0,379217920.0,11020288.0,90988544.0,94494720.0,198793216.0,107702272.0,155058176.0,40116224.0,38860800.0,207058944.0,198723584.0,4264462336.0,17.0,106.0,41.0
42,128993280.0,4281694208.0,4111702016.0,263839744.0,328869888.0,212789248.0,215199744.0,180191232.0,382717952.0,21456896.0,99612672.0,93038592.0,204457984.0,116301824.0,163057664.0,47294464.0,46731264.0,188493824.0,210700288.0,4276070400.0,17.0,106.0,42.0
43,131520512.0,4287176704.0,4116998144.0,266993664.0,332750848.0,213778432.0,220864512.0,184600576.0,372570112.0,25581568.0,101232640.0,72423424.0,198631424.0,117913600.0,164884480.0,46125056.0,48908288.0,151377920.0,216633344.0,4280524800.0,17.0,106.0,43.0
44,121786368.0,4274968576.0,4105695232.0,260167680.0,324347904.0,206047232.0,208939008.0,174704640.0,369027072.0,15085568.0,92551168.0,73844736.0,192923648.0,109246464.0,156805120.0,38895616.0,40988672.0,169934848.0,204589056.0,4268869632.0,17.0,106.0,44.0
45,119226368.0,4269463552.0,4100376576.0,256962560.0,320364544.0,204982272.0,203282432.0,170289152.0,379125760.0,10924032.0,90910720.0,94443520.0,198719488.0,107583488.0,154927104.0,40036352.0,38787072.0,206977024.0,198617088.0,4264415232.0,17.0,106.0,45.0
46,128952320.0,4281653248.0,4111622144.0,263763968.0,328728576.0,212678656.0,215218176.0,180213760.0,382695424.0,21409792.0,99594240.0,93054976.0,204443648.0,116226048.0,163008512.0,47284224.0,46710784.0,188465152.0,210638848.0,4276051968.0,17.0,106.0,46.0
47,131518464.0,4287168512.0,4116928512.0,266977280.0,332687360.0,213714944.0,220932096.0,184668160.0,372586496.0,25616384.0,101255168.0,72482816.0,198682624.0,117899264.0,164921344.0,46182400.0,48945152.0,151396352.0,216635392.0,4280543232.0,17.0,106.0,47.0
48,121821184.0,4274999296.0,4105693184.0,260218880.0,324356096.0,206047232.0,209074176.0,174792704.0,369088512.0,15179776.0,92602368.0,73900032.0,193019904.0,109299712.0,156882944.0,38957056.0,41033728.0,169971712.0,204666880.0,4268941312.0,17.0,106.0,48.0
49,119289856.0,4269527040.0,4100417536.0,257091584.0,320407552.0,205051904.0,203476992.0,170373120.0,379187200.0,11051008.0,90982400.0,94478336.0,198858752.0,107667456.0,155006976.0,40093696.0,38830080.0,207028224.0,198754304.0,4264531968.0,17.0,106.0,49.0
50,128991232.0,4281706496.0,4111704064.0,263905280.0,328747008.0,212742144.0,215404544.0,180250624.0,382689280.0,21534720.0,99639296.0,93065216.0,204576768.0,116277248.0,163057664.0,47327232.0,46751744.0,188536832.0,210767872.0,4276166656.0,17.0,106.0,50.0
51,131526656.0,4287174656.0,4117002240.0,267055104.0,332666880.0,213747712.0,221063168.0,184668160.0,372555776.0,25681920.0,101271552.0,72470528.0,198762496.0,117909504.0,164925440.0,46178304.0,48961536.0,151500800.0,216700928.0,4280602624.0,17.0,106.0,51.0
52,121823232.0,4274956288.0,4105680896.0,260239360.0,324288512.0,206026752.0,209139712.0,174764032.0,369033216.0,15175680.0,92594176.0,73885696.0,193046528.0,109273088.0,156860416.0,38950912.0,41013248.0,170037248.0,204652544.0,4268951552.0,17.0,106.0,52.0
53,119257088.0,4269443072.0,4100358144.0,257067008.0,320317440.0,204961792.0,203476992.0,170313728.0,379109376.0,10981376.0,90925056.0,94447616.0,198832128.0,107585536.0,154947584.0,40058880.0,38793216.0,207003648.0,198674432.0,4264493056.0,17.0,106.0,53.0
54,128913408.0,4281567232.0,4111560704.0,263811072.0,328622080.0,212598784.0,215357440.0,180152320.0,382611456.0,21401600.0,99559424.0,93032448.0,204513280.0,116156416.0,162942976.0,47302656.0,46630912.0,188481536.0,210630656.0,4276086784.0,17.0,106.0,54.0
55,131457024.0,4287043584.0,4116850688.0,266934272.0,332531712.0,213606400.0,221028352.0,184547328.0,372500480.0,25544704.0,101206016.0,72439808.0,198705152.0,117798912.0,164792320.0,46098432.0,48807936.0,151443456.0,216569856.0,4280526848.0,17.0,106.0,55.0
56,121782272.0,4274886656.0,4105598976.0,260177920.0,324204544.0,205946880.0,209174528.0,174686208.0,369012736.0,15083520.0,92553216.0,73832448.0,193036288.0,109201408.0,156762112.0,38762496.0,40912896.0,169969664.0,204589056.0,4268929024.0,17.0,106.0,56.0
57,119230464.0,4269391872.0,4100268032.0,257017856.0,320245760.0,204926976.0,203548672.0,170289152.0,379097088.0,10938368.0,90916864.0,94386176.0,198866944.0,107556864.0,154929152.0,39929856.0,38727680.0,206989312.0,198651904.0,4264488960.0,17.0,106.0,57.0
58,128935936.0,4281581568.0,4111542272.0,263858176.0,328611840.0,212645888.0,215506944.0,180209664.0,382644224.0,21426176.0,99565568.0,92966912.0,204591104.0,116172800.0,163012608.0,47169536.0,46669824.0,188532736.0,210679808.0,4276123648.0,17.0,106.0,58.0
59,131497984.0,4287084544.0,4116838400.0,267005952.0,332560384.0,213680128.0,221188096.0,184651776.0,372543488.0,25597952.0,101226496.0,72374272.0,198799360.0,117854208.0,164894720.0,46043136.0,48873472.0,151519232.0,216643584.0,4280594432.0,17.0,106.0,59.0
60,121782272.0,4274890752.0,4105572352.0,260161536.0,324177920.0,205963264.0,209266688.0,174739456.0,368992256.0,15108096.0,92551168.0,73758720.0,193081344.0,109211648.0,156846080.0,38811648.0,40945664.0,170012672.0,204607488.0,4268949504.0,17.0,106.0,60.0
61,119238656.0,4269424640.0,4100280320.0,257024000.0,320227328.0,204945408.0,203642880.0,170313728.0,379095040.0,10971136.0,90914816.0,94330880.0,198889472.0,107567104.0,154980352.0,39972864.0,38762496.0,207032320.0,198674432.0,4264527872.0,17.0,106.0,61.0
62,128931840.0,4281589760.0,4111513600.0,263843840.0,328566784.0,212625408.0,215566336.0,180195328.0,382642176.0,21456896.0,99571712.0,92981248.0,204599296.0,116168704.0,163004416.0,47214592.0,46678016.0,188598272.0,210694144.0,4276158464.0,17.0,106.0,62.0
63,131418112.0,4287012864.0,4116760576.0,266954752.0,332439552.0,213585920.0,221192192.0,184555520.0,372477952.0,25563136.0,101148672.0,72417280.0,198754304.0,117751808.0,164804608.0,46004224.0,48801792.0,151568384.0,216598528.0,4280553472.0,17.0,106.0,63.0
64,121716736.0,4274821120.0,4105488384.0,260151296.0,324077568.0,205905920.0,209299456.0,174667776.0,368973824.0,15075328.0,92487680.0,73865216.0,193073152.0,109129728.0,156743680.0,38785024.0,40863744.0,170115072.0,204595200.0,4268929024.0,17.0,106.0,64.0
65,119181312.0,4269328384.0,4100175872.0,256972800.0,320116736.0,204886016.0,203657216.0,170262528.0,379076608.0,10924032.0,90869760.0,94445568.0,198903808.0,107481088.0,154882048.0,39964672.0,38668288.0,207106048.0,198635520.0,4264495104.0,17.0,106.0,65.0
66,128882688.0,4281489408.0,4111411200.0,263741440.0,328466432.0,212559872.0,215570432.0,180140032.0,382586880.0,21401600.0,99536896.0,93036544.0,204611584.0,116082688.0,162902016.0,47177728.0,46553088.0,188604416.0,210630656.0,4276103168.0,17.0,106.0,66.0
67,131461120.0,4287023104.0,4116744192.0,266938368.0,332443648.0,213630976.0,221302784.0,184582144.0,372525056.0,25602048.0,101203968.0,72513536.0,198852608.0,117762048.0,164792320.0,46043136.0,48764928.0,151629824.0,216631296.0,4280588288.0,17.0,106.0,67.0
68,121767936.0,4274892800.0,4105535488.0,260229120.0,324128768.0,205991936.0,209465344.0,174733312.0,369037312.0,15173632.0,92545024.0,73910272.0,193193984.0,109170688.0,156768256.0,38840320.0,40880128.0,170151936.0,204675072.0,4269006848.0,17.0,106.0,68.0
69,119224320.0,4269418496.0,4100237312.0,257114112.0,320188416.0,204955648.0,203841536.0,170330112.0,379146240.0,11024384.0,90914816.0,94416896.0,199002112.0,107528192.0,154904576.0,39985152.0,38699008.0,207120384.0,198737920.0,4264579072.0,17.0,106.0,69.0
70,128919552.0,4281581568.0,4111454208.0,263933952.0,328513536.0,212625408.0,215762944.0,180217856.0,382681088.0,21477376.0,99567616.0,93009920.0,204707840.0,116142080.0,162934784.0,47179776.0,46635008.0,188651520.0,210733056.0,4276183040.0,17.0,106.0,70.0
71,131438592.0,4287037440.0,4116692992.0,267042816.0,332410880.0,213618688.0,221401088.0,184621056.0,372543488.0,25610240.0,101201920.0,72486912.0,198905856.0,117760000.0,164796416.0,46024704.0,48824320.0,151678976.0,216649728.0,4280594432.0,17.0,106.0,71.0
72,121733120.0,4274851840.0,4105447424.0,260235264.0,324048896.0,205922304.0,209502208.0,174731264.0,369025024.0,15120384.0,92547072.0,73916416.0,193224704.0,109133824.0,156739584.0,38803456.0,40900608.0,170207232.0,204627968.0,4268967936.0,17.0,106.0,72.0
73,119183360.0,4269338624.0,4100136960.0,257050624.0,320075776.0,204861440.0,203833344.0,170285056.0,379092992.0,10944512.0,90896384.0,94486528.0,199012352.0,107462656.0,154824704.0,39936000.0,38686720.0,207171584.0,198645760.0,4264499200.0,17.0,106.0,73.0
74,128905216.0,4281509888.0,4111364096.0,263841792.0,328413184.0,212535296.0,215754752.0,180166656.0,382642176.0,21420032.0,99557376.0,93134848.0,204703744.0,116076544.0,162863104.0,47167488.0,46589952.0,188692480.0,210640896.0,4276109312.0,17.0,106.0,74.0
75,131452928.0,4286988288.0,4116643840.0,266969088.0,332335104.0,213538816.0,221425664.0,184590336.0,372539392.0,25559040.0,101189632.0,72609792.0,198899712.0,117708800.0,164726784.0,46012416.0,48775168.0,151719936.0,216569856.0,4280530944.0,17.0,106.0,75.0
76,121784320.0,4274835456.0,4105435136.0,260200448.0,324018176.0,205893632.0,209557504.0,174737408.0,369061888.0,15106048.0,92551168.0,74049536.0,193241088.0,109117440.0,156706816.0,38828032.0,40876032.0,170254336.0,204593152.0,4268947456.0,17.0,106.0,76.0
